# multipoles
# s[mm] polynom_b[n=1][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=9][T/m^n] polynom_b[n=13][T/m^n] 
+0.0000000000000000e+00 +4.5427032242421902e+01 -3.2882508371777083e+06 +2.0763937689639238e+14 -3.6428699688137953e+21 
+1.0000000000000001e-01 +4.5427032022082415e+01 -3.2880877566269157e+06 +2.0761793790338281e+14 -3.6421283389990665e+21 
+2.0000000000000001e-01 +4.5427031392898819e+01 -3.2876324876004439e+06 +2.0755770654052678e+14 -3.6400354991092421e+21 
+3.0000000000000004e-01 +4.5427030402620133e+01 -3.2869359864011812e+06 +2.0746481088598122e+14 -3.6367895122321557e+21 
+4.0000000000000002e-01 +4.5427029098996009e+01 -3.2860492100806804e+06 +2.0734537913011909e+14 -3.6325884453392283e+21 
+5.0000000000000000e-01 +4.5427027529778066e+01 -3.2850231167661836e+06 +2.0720553957750562e+14 -3.6276303686633165e+21 
+6.0000000000000009e-01 +4.5427025742716026e+01 -3.2839086633462161e+06 +2.0705142038778694e+14 -3.6221133480218308e+21 
+7.0000000000000007e-01 +4.5427023785559030e+01 -3.2827568066216186e+06 +2.0688914971838484e+14 -3.6162354492912178e+21 
+8.0000000000000004e-01 +4.5427021706056770e+01 -3.2816185033657588e+06 +2.0672485571274656e+14 -3.6101947377612158e+21 
+9.0000000000000002e-01 +4.5427019551962701e+01 -3.2805447129081865e+06 +2.0656466682044206e+14 -3.6041892881647398e+21 
+1.0000000000000000e+00 +4.5427017371024867e+01 -3.2795863912700587e+06 +2.0641471110465275e+14 -3.5984171634538090e+21 
+1.1000000000000001e+00 +4.5427015207568161e+01 -3.2787904990675999e+06 +2.0628105891570619e+14 -3.5930848519476876e+21 
+1.2000000000000002e+00 +4.5427013092230048e+01 -3.2781880196128972e+06 +2.0616955029706234e+14 -3.5884325605985768e+21 
+1.3000000000000000e+00 +4.5427011052219299e+01 -3.2778059375280193e+06 +2.0608596720228975e+14 -3.5847089103742593e+21 
+1.4000000000000001e+00 +4.5427009114746319e+01 -3.2776712385519836e+06 +2.0603609171954041e+14 -3.5821625263851286e+21 
+1.5000000000000000e+00 +4.5427007307021043e+01 -3.2778109080221029e+06 +2.0602570588531944e+14 -3.5810420321124604e+21 
+1.6000000000000001e+00 +4.5427005656256185e+01 -3.2782519330388848e+06 +2.0606059194015553e+14 -3.5815960571684994e+21 
