# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
Q20-005   +4.999470e+01   -4.497315e-07 -5.916125e-02 -4.928886e-04 -7.295715e-02 -4.139855e-01 +2.133192e+03 -1.940425e+03 +1.321182e+05 -3.316208e+07 -2.332859e+11 +3.508530e+10 +6.603990e+11 +9.585170e+14 +4.681022e+18 +4.972517e+17   -1.936723e-07 -1.237124e-05 +7.707787e-04 +1.188611e-02 -1.017689e+00 -1.284637e+02 -6.392414e+02 -9.592755e+04 +1.731451e+07 +3.033718e+09 -1.481692e+10 -7.064719e+12 -2.597031e+14 -2.887966e+16 +4.384281e+18   
Q20-007   +4.999595e+01   +5.244845e-07 -5.918747e-02 -1.011032e-03 -7.870588e-02 -5.568989e-01 +2.365114e+03 -1.651272e+03 +1.431600e+05 +1.684359e+07 -2.327036e+11 +6.248174e+10 -4.145976e+12 +1.894661e+13 +4.678231e+18 +2.689574e+18   +3.615585e-07 -7.061702e-06 -6.420258e-04 +1.727595e-02 -3.190122e-01 -1.625616e+02 +1.733699e+03 +7.465191e+04 +5.784559e+06 +4.181841e+09 -2.377123e+10 -1.012027e+13 -4.964482e+13 -3.197211e+16 -1.177554e+18   
Q20-009   +4.999535e+01   +2.036801e-07 -5.917850e-02 -9.915626e-04 -1.253665e-01 -8.231358e-01 +2.320744e+03 -2.588983e+02 +2.867399e+05 +1.772092e+07 -2.337453e+11 -1.489122e+10 -3.315976e+12 -5.104145e+14 +4.750808e+18 +2.394831e+18   +1.912588e-07 -1.197504e-05 -3.383111e-04 +1.077125e-02 +3.187404e-01 -1.851792e+02 -1.015058e+03 +5.429369e+04 +1.073280e+06 +4.878428e+09 -3.877721e+10 -9.322483e+12 -3.015638e+14 -1.083721e+17 +3.949209e+18   
Q20-010   +4.999425e+01   +6.544025e-07 -5.917721e-02 -3.905279e-04 -1.027875e-01 -5.322478e-01 +2.310672e+03 -2.744954e+03 +1.033400e+05 +9.663973e+06 -2.325663e+11 +6.703253e+10 +4.214541e+11 -3.125563e+14 +4.729766e+18 -7.751097e+17   -6.686171e-09 -6.348794e-06 -7.436177e-04 +1.829329e-02 +1.527812e+00 -1.828750e+02 +2.311626e+02 -9.992625e+03 -5.718620e+06 +5.664539e+09 -4.244828e+10 -5.902417e+12 +1.370727e+14 -1.295037e+17 +8.785588e+17   
Q20-011   +4.999425e+01   +2.272453e-08 -5.916212e-02 -1.188174e-03 -8.263880e-02 -8.213877e-01 +2.372885e+03 -1.918742e+03 +1.448626e+05 -3.635722e+06 -2.332876e+11 +5.406028e+10 -1.619425e+12 +2.854818e+13 +4.725897e+18 -1.835417e+18   +5.009244e-07 -5.136195e-06 -1.244781e-03 -7.972835e-03 +1.286967e+00 -1.802698e+02 +1.650204e+03 +6.567205e+04 +9.381447e+06 +5.004552e+09 -2.888372e+10 -4.408687e+12 -4.195825e+14 -9.506461e+16 +3.817673e+17   
Q20-012   +4.999465e+01   +2.517225e-07 -5.917275e-02 -1.659862e-03 -1.317816e-01 -9.976543e-01 +2.352666e+03 +1.278536e+03 +3.340213e+05 +2.481758e+07 -2.340794e+11 -1.494904e+10 -7.716856e+12 -1.084018e+15 +4.737375e+18 +7.986023e+17   +4.088555e-07 -2.907029e-05 -1.261297e-03 +3.966002e-03 +1.483121e+00 -1.800372e+02 +1.383101e+03 +2.419885e+04 +1.103770e+07 +4.765604e+09 +1.278554e+10 -6.978745e+12 +1.178443e+13 -9.161626e+16 -1.767495e+18   
Q20-013   +4.999435e+01   +4.620180e-07 -5.914906e-02 -6.891685e-04 -8.279218e-02 -3.722543e-02 +2.346495e+03 -1.092394e+03 +4.206683e+04 +1.995706e+07 -2.335524e+11 +5.847175e+10 +5.854436e+12 -7.778037e+14 +4.742190e+18 -1.844040e+18   +4.682933e-07 -2.147581e-05 -1.022985e-03 +3.168076e-02 +2.994814e-01 -2.359267e+02 +3.429654e+02 -4.468013e+04 +4.467263e+06 +6.881700e+09 +3.806496e+10 -7.001865e+12 -8.536317e+14 -1.733277e+17 +7.434398e+17   
Q20-014   +4.999450e+01   +4.134599e-07 -5.917183e-02 +1.077611e-04 -6.914733e-02 +9.180158e-01 +2.290872e+03 -3.355679e+03 +1.404714e+05 +3.402690e+06 -2.338405e+11 +7.782592e+10 +7.598016e+11 -4.218466e+14 +4.705826e+18 +4.147292e+18   +1.215832e-07 -2.814056e-05 -3.041801e-04 +4.000100e-02 -3.136989e-01 -1.613321e+02 -1.494112e+02 -7.326586e+04 -3.579760e+06 +4.499485e+09 +1.428616e+10 -7.186443e+12 -3.534541e+14 -7.981128e+16 +7.185752e+17   
Q20-015   +4.999435e+01   +3.709987e-07 -5.917581e-02 -1.232636e-03 -1.055213e-01 -3.712772e-01 +2.314210e+03 +3.239330e+02 +7.217612e+04 +1.535103e+07 -2.335974e+11 +3.826090e+10 -1.890184e+12 -4.709344e+14 +4.711306e+18 +2.042851e+18   +3.967822e-07 -7.718512e-06 -1.447208e-03 +8.096867e-03 +6.531916e-01 -2.164851e+02 +1.925697e+03 +4.576651e+04 +8.159320e+05 +5.892044e+09 -1.800189e+10 -5.872322e+12 +5.513041e+13 -1.290562e+17 +1.084569e+18   
Q20-016   +4.999520e+01   +6.425963e-09 -5.916388e-02 -1.840292e-03 -5.618957e-02 -6.430459e-01 +2.360769e+03 +1.101553e+03 -1.956855e+04 -1.974310e+06 -2.331852e+11 -1.600605e+10 -5.127826e+11 -4.719279e+13 +4.664110e+18 +1.144254e+18   +5.843027e-07 -2.134477e-05 -1.208072e-03 +1.457705e-02 +9.228572e-01 -2.382327e+02 +2.217743e+03 +1.776633e+05 +2.002836e+06 +8.238317e+09 +8.461564e+10 -6.999472e+12 -2.906337e+12 -1.817862e+17 -8.505297e+17   
Q20-021   +4.999520e+01   +8.864175e-07 -5.913916e-02 -6.799483e-04 -9.839053e-02 -5.306277e-01 +2.273524e+03 -8.419220e+02 +3.480240e+05 +3.543646e+07 -2.328642e+11 -4.709690e+10 -8.037480e+12 -1.498493e+15 +4.667854e+18 -1.284573e+18   +7.545534e-07 -1.048575e-07 -1.907972e-03 +2.826653e-02 +2.031441e+00 -2.237205e+02 +3.826365e+03 -1.033668e+05 +6.164652e+06 +7.531997e+09 -6.870546e+10 -3.913464e+11 -6.093279e+14 -2.612313e+17 +1.773915e+18   
Q20-022   +4.999460e+01   +2.116633e-07 -5.910332e-02 -1.020315e-03 -9.964462e-02 -1.430706e-02 +2.257362e+03 -7.082847e+02 +2.896275e+03 +3.310123e+06 -2.322407e+11 +1.472254e+10 -1.886357e+12 -4.060677e+14 +4.693457e+18 +7.193991e+17   +6.947424e-08 -1.241246e-05 +2.765835e-04 +2.150678e-03 +1.416233e-01 -1.992945e+02 +5.103589e+02 +1.231277e+05 +4.300826e+06 +4.410848e+09 -3.164358e+10 -7.076506e+12 -1.945697e+12 -4.981558e+16 +5.268541e+18   
Q20-023   +4.999455e+01   +2.552164e-07 -5.913325e-02 -1.269439e-03 -6.297110e-02 -5.406429e-02 +2.370532e+03 -7.650066e+02 -9.944092e+04 +1.019039e+07 -2.337571e+11 +5.721846e+10 +5.229996e+12 -1.669791e+14 +4.723849e+18 -1.088845e+18   +5.388049e-07 -1.315011e-05 -1.184359e-03 +3.084076e-02 +1.626931e+00 -2.192485e+02 +1.491292e+03 -2.173823e+05 +7.034027e+06 +5.405967e+09 -6.576943e+10 -2.544355e+12 -3.327411e+14 -6.725113e+16 +7.292037e+17   
Q20-026   +4.999505e+01   +2.964147e-07 -5.914942e-02 -2.059374e-03 -3.221921e-02 -1.851559e+00 +2.308631e+03 +2.093649e+03 -2.295895e+03 +2.458533e+07 -2.333519e+11 -1.133665e+11 -1.583570e+12 -6.317071e+14 +4.709388e+18 +7.357842e+18   +3.671707e-07 -2.042242e-05 -1.460656e-04 +7.614846e-03 -1.040355e-01 -1.603705e+02 +2.829704e+02 -2.567028e+04 +1.435350e+07 +4.645168e+09 +6.711614e+10 -4.765064e+09 -3.329420e+14 -7.923806e+16 -1.557183e+18   
Q20-027   +4.999525e+01   +5.102787e-07 -5.915712e-02 -1.400880e-03 -8.620785e-02 -6.028183e-01 +2.322867e+03 -4.966918e+02 +5.736737e+04 +2.359974e+07 -2.323865e+11 +3.302148e+10 +3.645080e+12 -4.095259e+14 +4.752776e+18 -4.004030e+16   +1.235783e-07 -2.052637e-05 -1.546226e-05 +1.464548e-02 +4.550352e-01 -1.940691e+02 -5.588265e+02 +1.359921e+05 +1.315619e+07 +6.045012e+09 -1.771601e+10 -9.198046e+12 -1.941675e+14 -1.544364e+17 -1.425719e+18   
Q20-028   +4.999485e+01   +1.830130e-07 -5.915235e-02 -1.088744e-03 -7.983146e-02 -5.711572e-01 +2.286069e+03 -2.576275e+03 +3.979454e+04 +3.304328e+07 -2.323819e+11 +5.379282e+10 +3.120835e+12 -9.478046e+14 +4.714904e+18 -1.334861e+18   +2.395885e-07 -1.691052e-05 -1.839478e-04 +2.036074e-02 +1.272012e-01 -1.609596e+02 -1.414118e+03 +1.732061e+05 +2.084993e+07 +3.041477e+09 +1.637345e+10 -6.973032e+12 -7.108966e+13 -3.211767e+15 +1.029492e+18   
Q20-033   +4.999515e+01   +6.266254e-07 -5.913218e-02 -1.112812e-03 -8.551694e-02 -8.246552e-01 +2.330848e+03 -1.381833e+03 +2.063130e+04 +2.064358e+07 -2.340735e+11 +2.866184e+10 -1.351201e+11 -4.578708e+14 +4.747935e+18 +8.275811e+17   +4.734627e-07 -1.516145e-05 -1.013114e-03 +2.003688e-02 +1.191234e+00 -1.330243e+02 +9.053396e+02 -2.181570e+04 +1.114566e+07 +4.056039e+09 -5.426058e+09 -8.742606e+12 -8.470232e+14 -8.064404e+16 -2.986188e+18   
Q20-034   +4.999445e+01   +3.062310e-07 -5.911386e-02 -8.910151e-04 -8.713111e-02 -9.228982e-01 +2.314229e+03 -1.720580e+03 +7.773395e+04 +5.292607e+06 -2.319717e+11 -6.802327e+09 -1.563977e+12 -4.430424e+14 +4.657169e+18 +2.759552e+18   +8.090432e-07 -2.328869e-05 -3.811377e-03 +1.079534e-02 +3.140281e+00 -1.749967e+02 +8.036708e+03 +3.626337e+04 -3.014215e+06 +2.747273e+09 -9.475510e+10 -3.626371e+12 -2.241455e+14 -6.080197e+14 +2.211417e+18   
Q20-035   +4.999475e+01   +4.264750e-07 -5.911823e-02 -1.865557e-03 -6.027045e-02 -1.180237e+00 +2.328248e+03 +9.237616e+02 +7.099353e+04 +2.825621e+07 -2.326540e+11 -4.028495e+10 -1.612356e+12 -3.352700e+14 +4.691757e+18 +1.036449e+18   +1.901272e-07 -1.981291e-05 -8.889741e-05 +2.555710e-02 -1.391727e-02 -1.262480e+02 -7.501918e+02 +1.029493e+05 +6.379438e+06 +5.063038e+09 +2.452768e+10 -1.048337e+13 -6.376996e+14 -1.304496e+17 +1.179795e+18   
Q20-036   +4.999480e+01   +5.308130e-07 -5.918119e-02 -7.298341e-04 -7.802067e-02 -5.544467e-01 +2.279617e+03 -1.190756e+03 +2.646943e+05 +7.420226e+05 -2.320425e+11 -5.811134e+09 -5.522860e+12 +2.819687e+14 +4.659925e+18 +3.838005e+18   +8.053450e-07 -2.205861e-05 -1.486914e-03 +2.533077e-02 +2.272580e-01 -1.631512e+02 +4.215766e+03 +1.445145e+04 +1.650531e+07 +6.521914e+09 -6.655710e+10 +1.311598e+12 -8.970061e+14 -1.265858e+17 +3.892131e+18   
Q20-038   +4.999435e+01   +5.763799e-07 -5.915578e-02 -1.508406e-03 -1.005681e-01 -1.213664e+00 +2.331795e+03 -1.167646e+03 +1.488113e+05 +2.608539e+07 -2.320686e+11 +2.737221e+10 -4.859937e+12 -8.300594e+14 +4.676118e+18 +3.760831e+17   +2.778514e-07 -2.557377e-05 +2.800382e-05 +3.086697e-02 -2.393062e-01 -1.728518e+02 +2.252829e+03 +1.282574e+05 +2.262952e+06 +3.028096e+09 -8.477376e+10 -9.766646e+12 +4.936182e+12 -1.453867e+16 +1.654557e+18   
Q20-039   +4.999440e+01   +9.888688e-07 -5.914574e-02 -5.929826e-04 -5.535952e-02 -1.431702e-02 +2.315469e+03 -4.062867e+03 -2.429798e+03 +1.422228e+07 -2.326099e+11 +8.373112e+10 -3.481366e+12 -2.156243e+14 +4.665235e+18 +7.388043e+17   +1.212096e-07 -9.276953e-06 -1.944114e-04 +2.971925e-02 +4.663302e-01 -1.595267e+02 +1.683356e+03 -3.546505e+03 +1.756710e+07 +3.737391e+09 -1.732428e+11 -7.760681e+12 -7.983138e+14 -5.278295e+16 +6.095721e+18   
Q20-041   +4.999535e+01   +6.599788e-07 -5.910992e-02 -1.301696e-03 -7.012642e-02 -5.236835e-01 +2.256392e+03 +1.730675e+03 +2.940695e+05 +3.493247e+07 -2.319898e+11 +1.755557e+09 -1.088815e+13 -1.138245e+15 +4.650927e+18 -6.944874e+17   +5.530974e-07 -3.370537e-06 -9.862243e-04 +1.153330e-02 +1.217238e+00 -2.236000e+02 +1.199513e+03 +4.050657e+04 +9.029174e+06 +6.974507e+09 -1.010907e+10 -2.331435e+12 -2.744243e+14 -2.069412e+17 +2.303118e+18   
Q20-044   +4.999430e+01   +7.278086e-07 -5.912100e-02 -1.514125e-03 -9.660831e-02 -1.310410e+00 +2.348240e+03 +2.247332e+03 +2.481471e+05 +2.301292e+07 -2.327337e+11 -6.800599e+10 -5.149261e+12 -4.956869e+14 +4.678189e+18 -3.597282e+17   +7.112923e-07 -1.806638e-05 -2.210522e-03 +6.503839e-04 +2.161490e+00 -1.911306e+02 +4.927350e+03 -1.383894e+04 -2.357073e+06 +5.021278e+09 -1.053202e+11 -7.815923e+12 -8.155592e+13 -1.168141e+17 +6.621871e+18   
Q20-045   +4.999500e+01   +8.670515e-07 -5.910183e-02 -7.878522e-04 -6.041224e-02 -5.042054e-01 +2.351437e+03 -3.259572e+02 +2.073845e+05 +2.886605e+07 -2.325717e+11 +4.024292e+10 -1.918354e+12 -9.185989e+14 +4.732825e+18 -9.019852e+17   +6.273137e-07 -9.078156e-06 -1.652171e-03 +3.472959e-02 +1.397368e+00 -1.819475e+02 +3.057512e+03 +1.122888e+05 +6.417436e+06 +6.371633e+09 +5.527789e+09 -1.171445e+13 -5.099356e+14 -1.045467e+17 +8.394635e+17   
Q20-048   +4.999455e+01   +4.676442e-07 -5.906400e-02 -1.605457e-04 -1.939912e-02 +8.822940e-01 +2.294866e+03 -1.196259e+03 -9.665188e+03 +7.801756e+06 -2.307297e+11 -8.182158e+09 +5.081914e+12 -1.894294e+14 +4.636939e+18 +3.937399e+18   +1.385879e-07 -1.008269e-05 +5.409084e-04 +1.598974e-03 -1.200331e+00 -7.770629e+01 +4.892967e+01 +1.400943e+04 +2.494954e+07 +1.219599e+08 -3.220677e+10 -1.848868e+12 -5.491143e+14 +7.901697e+16 +1.521143e+18   
Q20-049   +4.999480e+01   +6.862254e-07 -5.908140e-02 -2.382146e-04 -8.408146e-02 +1.082258e+00 +2.307746e+03 -1.994175e+03 +1.480551e+05 +1.224428e+07 -2.308452e+11 +9.997390e+10 +3.061306e+12 +1.571316e+14 +4.634906e+18 -3.724257e+18   +7.207156e-07 -1.778042e-05 -2.293146e-03 +1.154120e-02 +1.630304e+00 -1.322173e+02 +2.722313e+03 -2.073218e+02 +9.166725e+06 +2.838545e+09 -1.345651e+10 -2.273280e+12 -7.422742e+13 -4.737023e+16 +2.261103e+18   
Q20-051   +4.999490e+01   +4.925798e-07 -5.903898e-02 -1.268864e-03 -5.461641e-02 +2.432944e-01 +2.332644e+03 +2.867771e+03 -1.619399e+04 +2.723918e+07 -2.287061e+11 -2.594925e+10 +1.887666e+12 -6.961932e+14 +4.652601e+18 -1.311042e+18   +5.132347e-07 -1.830748e-05 -9.074370e-04 +3.783814e-03 +1.095648e+00 -1.403146e+02 +1.714870e+03 +1.446191e+05 +2.410918e+06 +3.043592e+09 -3.470394e+09 -7.856437e+12 -3.004370e+14 +1.003992e+16 +9.633721e+17   
