# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
Q20-005   +1.995100e+00   +1.887768e-06 -7.472899e-02 -6.751977e-04 -5.976116e-02 -5.332139e+00 +1.203424e+03 +2.711632e+03 +2.088078e+05 -2.733451e+07 -2.817522e+11 +3.585608e+10 +6.995123e+12 -9.469741e+13 +6.297369e+18 +3.589804e+19   +2.054589e-06 -2.631917e-05 -3.395345e-03 +1.231198e-03 +2.108878e+00 +8.833938e+01 +4.374667e+03 +1.285089e+06 +7.267385e+07 -4.471357e+09 -6.513764e+11 -3.976188e+13 +3.986539e+15 -1.251615e+17 -4.840924e+19   
Q20-007   +1.995700e+00   -1.821050e-06 -7.633607e-02 -1.889170e-02 -9.264253e-02 -1.189382e+01 +1.528055e+03 +4.382494e+04 +1.213100e+04 +4.981009e+07 -2.872492e+11 -9.833181e+11 -1.875515e+13 -4.796000e+14 +5.957579e+18 -8.007586e+18   -2.632062e-06 -1.821330e-06 +1.366171e-02 +5.891933e-02 -5.026512e+00 -2.260365e+02 -4.269706e+04 +1.088175e+05 +5.728070e+07 +2.800975e+09 +2.935969e+11 -2.561275e+13 -1.104954e+15 +5.356672e+15 -1.647080e+19   
Q20-009   +1.995150e+00   +3.249061e-06 -7.441846e-02 +4.755988e-04 -8.968769e-02 -1.877737e+00 +1.263619e+03 -2.450436e+03 +4.745224e+04 +2.485054e+07 -2.838936e+11 +4.355027e+11 -1.905572e+13 +1.140679e+15 +5.969621e+18 +2.739367e+18   +7.756870e-06 -7.315064e-06 -2.018901e-02 +7.864331e-03 +1.629968e+01 -1.901880e+02 +3.360187e+04 +8.414245e+05 +7.746074e+07 -4.220164e+09 -3.967089e+11 +9.508177e+12 +4.542125e+15 -3.550787e+17 +1.875074e+19   
Q20-010   +1.994600e+00   -5.029575e-07 -7.416139e-02 -1.237365e-02 -1.180290e-01 -1.033906e+01 +1.261895e+03 +2.332789e+04 -1.609085e+06 +1.291548e+08 -2.773524e+11 +4.440989e+11 -1.273731e+13 -2.672110e+15 +6.101329e+18 +3.140605e+19   +2.692347e-06 -9.684373e-06 -5.479134e-03 +5.296561e-02 +8.269066e+00 -2.392308e+02 -3.637296e+03 +2.351496e+05 +2.041816e+06 +1.153657e+10 -6.355324e+09 -3.220421e+13 +2.065325e+14 +1.762614e+17 -5.450897e+19   
Q20-011   +1.994950e+00   +1.718528e-06 -7.434131e-02 -3.265952e-03 -4.280678e-02 -2.720143e+00 +1.361988e+03 +7.753773e+03 +1.186328e+06 +1.535049e+07 -2.759846e+11 +2.622553e+11 +2.946507e+13 +1.159322e+15 +6.285957e+18 +3.303706e+19   -1.819134e-07 +6.715271e-06 +6.094744e-03 -4.388848e-02 -2.863834e+00 -2.044783e+02 -3.158725e+04 -1.478195e+04 +7.966706e+07 +7.114053e+09 +5.049690e+11 -2.705225e+13 +3.208247e+15 +5.353708e+17 +2.347735e+19   
Q20-012   +1.995000e+00   +6.058246e-06 -7.430421e-02 +1.103229e-02 -1.002575e-01 +4.012100e+00 +1.490621e+03 -5.066672e+04 +6.519258e+05 +9.661910e+07 -2.656076e+11 -5.335434e+11 +6.207183e+13 +2.125607e+15 +6.479108e+18 -8.042617e+18   +3.795942e-06 -2.034062e-05 -9.276817e-03 -5.979679e-02 +7.083569e+00 -4.044844e+02 +4.217588e+01 -1.511053e+06 -8.246947e+07 -5.556496e+09 -4.541461e+11 -9.798251e+13 -9.617619e+15 -4.863335e+17 +3.797978e+19   
Q20-013   +1.994750e+00   +5.575340e-06 -7.430269e-02 +9.642973e-03 -2.424495e-02 +6.632515e+00 +1.363791e+03 -2.377927e+04 -8.247013e+05 +1.755157e+08 -2.779092e+11 -3.210745e+11 +1.013158e+13 +4.476375e+14 +5.819085e+18 +1.450196e+19   +2.901964e-08 -8.886011e-06 +5.417777e-03 +7.245916e-02 -1.428752e+00 -2.972713e+02 -3.029145e+04 -1.396920e+06 -1.354478e+08 +1.155806e+10 +8.302594e+11 -9.729625e+13 -3.830307e+15 +1.612621e+17 -1.148971e+19   
Q20-014   +1.994950e+00   -1.339597e-06 -7.468729e-02 -1.211613e-02 -1.079718e-01 -1.076575e+01 +1.294454e+03 +2.858127e+04 +3.034348e+05 +3.129079e+07 -2.835666e+11 +2.143822e+11 +5.836081e+13 -4.455478e+15 +6.089621e+18 +6.784526e+18   +1.056622e-06 -2.482712e-05 +1.626831e-04 +7.894203e-02 -2.066073e-01 -1.637421e+02 +1.860893e+04 +5.437304e+05 -2.876249e+07 +8.846492e+08 +2.573414e+11 +8.025575e+12 -1.289153e+15 +1.182059e+17 -1.229904e+19   
Q20-015   +1.994800e+00   +2.015851e-06 -7.453539e-02 -5.833382e-03 -1.091112e-01 +1.357389e-01 +1.052597e+03 +3.673986e+04 -5.831853e+05 +4.928530e+06 -2.809275e+11 -3.593769e+11 -3.344274e+12 -5.017495e+15 +6.209104e+18 +1.081978e+19   -4.460264e-07 +3.397526e-06 +4.192198e-03 +2.255518e-02 +3.826619e-01 -1.890927e+02 -2.958444e+04 -7.472869e+05 +1.805355e+07 +1.129818e+10 +7.652236e+09 -5.455344e+13 -1.125570e+15 -1.697697e+17 +6.230434e+18   
Q20-016   +1.995450e+00   +1.671612e-07 -7.431361e-02 -1.004431e-02 -9.591566e-02 -4.642079e+00 +9.945742e+02 +3.120977e+04 -3.225814e+05 +3.978811e+07 -2.796833e+11 -4.836712e+11 +3.097400e+13 +5.543792e+14 +5.953058e+18 +4.075442e+18   -8.090000e-07 -1.062773e-05 +6.902398e-03 -1.511784e-02 -1.934757e+00 -4.813220e+02 -2.106134e+04 +1.467172e+06 -2.842539e+07 +1.225407e+10 +4.880375e+11 -4.521258e+13 +1.330370e+15 -1.424673e+17 -9.401328e+18   
