# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
Q20-029   +1.573592e+02   +4.369309e-07 -5.781007e-02 -1.895117e-03 -1.612105e-02 -1.154737e+00 +2.387022e+03 -3.212080e+02 +7.044240e+04 +3.181251e+07 -2.247450e+11 +9.218425e+09 -3.866441e+12 -6.946591e+14 +4.551447e+18 +1.685486e+18   -5.770425e-08 -6.338380e-06 +2.593619e-04 +1.992492e-02 +1.115459e-01 -2.516138e+02 -3.227718e+02 +6.384419e+04 +8.665302e+06 +5.485072e+09 +2.565954e+10 -9.917018e+12 -3.238067e+14 -1.370723e+17 -2.414633e+18   
Q20-030   +1.573590e+02   +6.552342e-07 -5.787506e-02 -9.552310e-04 -2.659740e-02 -2.167294e-01 +2.381745e+03 -1.759509e+03 -1.648060e+05 +1.954576e+07 -2.268665e+11 +5.073741e+10 +6.015883e+12 -7.224925e+14 +4.718328e+18 +1.327454e+18   -1.612260e-07 -1.406057e-05 +9.770601e-04 +2.218864e-02 -7.213327e-01 -2.530146e+02 -6.766057e+02 -5.671095e+04 +6.497620e+06 +8.680234e+09 -1.065378e+11 -7.909011e+12 -1.209813e+14 -2.488639e+17 +4.642290e+18   
Q20-032   +1.573599e+02   +2.241704e-07 -5.789458e-02 -6.612930e-04 -4.150074e-02 -1.942738e-01 +2.355476e+03 -9.724542e+02 -2.254898e+04 -1.609925e+06 -2.268300e+11 +8.880185e+09 +2.725480e+12 +7.186278e+13 +4.690283e+18 +5.835864e+17   -3.342967e-07 -1.369217e-05 +6.146095e-04 +1.224314e-02 -2.955599e-01 -2.485746e+02 -3.622792e+03 +1.182405e+05 +2.625728e+06 +4.884128e+09 +3.051947e+10 -7.618936e+12 +1.519575e+14 -1.270315e+17 -1.664758e+18   
Q20-037   +1.573579e+02   -4.048766e-07 -5.784821e-02 -2.256471e-03 -8.410267e-02 -9.660710e-01 +2.389703e+03 +2.018513e+03 +1.000914e+05 +4.389330e+06 -2.282707e+11 -2.387471e+09 +3.707368e+12 -7.625000e+14 +4.594051e+18 -7.783804e+17   -4.557950e-07 -9.011788e-06 +7.229977e-04 +9.784091e-03 -3.709876e-02 -3.356187e+02 -2.572518e+03 +1.801636e+05 +1.826884e+06 +3.948161e+09 +7.539838e+10 -1.238271e+13 -6.420828e+13 -5.762888e+16 -2.028826e+18   
Q20-040   +1.573575e+02   +8.983264e-07 -5.786889e-02 +1.497914e-04 -6.751842e-02 +1.187346e+00 +2.439565e+03 -4.967921e+03 -1.074417e+05 +1.635590e+07 -2.284893e+11 +1.342606e+11 +1.140514e+12 -2.599410e+14 +4.603125e+18 -4.196698e+18   -1.525332e-07 -5.571752e-06 +3.329356e-04 +8.985374e-03 +1.191762e+00 -3.414218e+02 +3.118799e+02 +2.598149e+05 -1.094027e+07 +4.813382e+09 -5.985668e+10 -1.950003e+13 +5.050319e+14 -1.839705e+17 +1.231770e+18   
Q20-043   +1.573577e+02   +1.981677e-08 -5.765626e-02 -2.699056e-03 -8.172120e-02 -1.695660e+00 +2.466279e+03 +3.737435e+03 +6.743229e+04 +2.634106e+07 -2.280387e+11 -7.718485e+10 -2.365433e+12 -5.011225e+14 +4.656664e+18 +2.066766e+18   +7.450840e-07 -1.775018e-05 -2.658235e-03 +1.620683e-02 +2.605278e+00 -3.557745e+02 +3.191245e+03 +9.798605e+04 -7.897999e+06 +5.673916e+09 +4.854279e+10 -5.677407e+12 +5.625348e+14 -1.205872e+17 -6.738596e+17   
Q20-046   +1.573592e+02   +6.351073e-07 -5.770308e-02 -5.938074e-04 -8.842356e-02 -4.238676e-01 +2.409855e+03 -2.044697e+03 +2.300428e+05 +3.040242e+07 -2.251146e+11 +1.106590e+11 -3.175530e+12 -6.905252e+14 +4.577729e+18 -3.767698e+18   -9.763376e-08 -1.259499e-05 +2.365866e-03 +2.864424e-02 -1.389365e+00 -2.605210e+02 -9.873697e+03 -3.575395e+04 +5.418205e+06 +5.939239e+09 +1.603046e+11 -1.483494e+12 -7.947238e+14 -1.250545e+17 -1.723688e+18   
Q20-047   +1.573573e+02   +1.263717e-06 -5.764029e-02 +5.255014e-04 -6.047478e-02 +6.818266e-01 +2.402893e+03 -9.075467e+02 +1.102738e+05 +3.069643e+07 -2.259952e+11 -1.200225e+10 -1.719396e+12 -9.736733e+14 +4.589369e+18 +3.359637e+18   +3.281083e-07 -6.034853e-06 -8.058323e-04 +1.319570e-02 -3.377166e-01 -2.536274e+02 +4.205070e+03 +1.417840e+05 +9.089162e+06 +4.793917e+09 -9.415477e+10 -7.208493e+12 -3.372419e+14 -1.499914e+17 +3.305083e+18   
Q20-050   +1.573606e+02   +1.129218e-06 -5.772159e-02 -5.372869e-05 -7.680322e-02 -1.341516e+00 +2.465167e+03 -2.592781e+03 +2.055419e+05 +4.828350e+07 -2.263439e+11 -3.580247e+09 -5.215049e+12 -1.379045e+15 +4.648889e+18 +7.430100e+17   +2.446976e-07 -8.527490e-06 -5.751170e-04 +2.495749e-02 +1.256777e+00 -2.285596e+02 +5.331193e+01 -3.357305e+04 +2.529694e+06 +7.197450e+09 -1.098986e+11 -5.026705e+12 -2.327022e+14 -1.738581e+17 +2.872283e+18   
Q20-056   +1.573594e+02   +7.666425e-07 -5.769135e-02 -5.371572e-04 -7.364727e-02 -3.898002e-01 +2.361659e+03 -1.970687e+03 +1.496092e+05 +2.675139e+07 -2.241694e+11 +8.787000e+09 -4.211977e+12 -7.729008e+14 +4.526507e+18 +1.239350e+18   +4.767953e-07 -1.408479e-05 -1.358820e-03 +1.125159e-02 +1.854896e+00 -1.258836e+02 +1.390480e+03 +7.594367e+04 +3.946836e+06 +1.495932e+09 -6.831832e+10 -5.756121e+12 -3.349613e+14 +3.907185e+16 +2.771718e+18   
