# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
Q20-005   +1.574380e+02   -4.107281e-07 -5.784284e-02 -2.695795e-04 -6.817033e-02 -1.869589e-01 +2.251336e+03 -1.345835e+03 +2.391994e+05 -2.974432e+07 -2.272105e+11 -4.672249e+09 -5.164727e+12 +7.802367e+14 +4.610740e+18 +4.683196e+17   +8.235985e-09 -1.154684e-05 -1.366305e-04 +1.242962e-02 -3.185808e-01 -1.418598e+02 +1.894298e+03 -5.648613e+04 +4.072626e+06 +1.899742e+09 -5.636132e+10 -5.023320e+12 -2.014874e+14 -4.593185e+16 +2.409780e+18   
Q20-007   +1.574387e+02   +3.981158e-07 -5.786716e-02 -1.248708e-03 -7.977708e-02 -7.829994e-01 +2.463024e+03 -1.535519e+01 +1.479329e+05 +1.804421e+07 -2.259692e+11 -8.416711e+09 -5.428684e+11 -1.879479e+14 +4.547513e+18 +9.173532e+17   +2.254986e-07 -6.653828e-06 -4.433102e-04 +1.943372e-02 -4.415960e-01 -2.014941e+02 +7.936568e+02 +1.545992e+03 +2.663911e+06 +3.952487e+09 +1.135976e+10 -4.600322e+12 -9.160600e+13 -4.604348e+16 +2.423672e+18   
Q20-009   +1.574382e+02   +1.705623e-07 -5.780584e-02 -8.193316e-04 -1.033570e-01 -6.155251e-01 +2.456004e+03 -8.115889e+02 +2.641804e+05 +1.186905e+07 -2.275124e+11 -2.769166e+10 -8.617597e+12 -1.602929e+14 +4.606498e+18 +2.105956e+18   -1.152278e-07 -1.058763e-05 +6.218979e-04 +1.186977e-02 -2.155366e-01 -2.209981e+02 -3.694629e+03 +4.455240e+04 +2.027109e+06 +3.861753e+09 +3.927159e+10 -6.593387e+12 +1.816012e+13 -8.403907e+16 -2.756241e+17   
Q20-010   +1.574372e+02   +6.744473e-07 -5.781588e-02 +8.664286e-05 -9.554718e-02 -2.244083e-01 +2.436239e+03 -5.317292e+03 +1.234181e+05 +1.609975e+07 -2.275504e+11 +1.020421e+11 -3.670525e+12 -3.491250e+14 +4.614587e+18 -4.047131e+18   -3.240632e-07 -3.745498e-06 +2.069626e-04 +1.596158e-02 +8.945421e-01 -2.549690e+02 -1.754334e+03 +8.824179e+04 -3.336207e+06 +4.519812e+09 -5.752290e+10 -1.666504e+12 +2.642416e+13 -1.260164e+17 +8.896119e+17   
Q20-011   +1.574380e+02   +1.117381e-07 -5.778365e-02 -5.939104e-04 -7.260979e-02 -4.916809e-01 +2.500474e+03 -3.672368e+03 +1.150360e+05 -1.870707e+06 -2.271990e+11 +7.893234e+10 +8.431529e+10 -4.647360e+13 +4.597637e+18 -1.986494e+18   +4.144607e-07 -3.330109e-06 -1.142661e-03 -6.924434e-03 +1.182671e+00 -2.037588e+02 +2.124940e+03 +6.937506e+04 +9.335796e+06 +3.650208e+09 -1.037412e+10 -3.128790e+12 -3.796434e+14 -9.632027e+16 +7.478620e+17   
Q20-012   +1.574381e+02   +2.218332e-07 -5.785162e-02 -1.330814e-03 -1.080115e-01 -8.044400e-01 +2.426420e+03 -3.273494e+02 +2.639951e+05 +1.944037e+07 -2.268384e+11 +4.758374e+10 -5.137841e+12 -4.811272e+14 +4.563346e+18 -2.434594e+18   +2.870642e-08 -2.704747e-05 -1.763989e-04 +2.062942e-03 +8.185636e-01 -2.532036e+02 -1.302039e+03 +3.508518e+04 +4.724765e+06 +5.031266e+09 -3.472867e+09 -7.062318e+12 -3.440869e+14 -1.256930e+17 -6.705708e+17   
Q20-013   +1.574373e+02   +2.350133e-07 -5.782616e-02 -1.054340e-03 -6.760005e-02 -8.172612e-02 +2.420433e+03 -1.430932e+02 -3.131581e+04 +3.348120e+06 -2.282205e+11 +1.860449e+09 +5.741038e+12 -1.203637e+14 +4.607227e+18 -5.669877e+16   +4.499922e-07 -1.828655e-05 -1.157769e-03 +3.147961e-02 +4.081250e-01 -3.631432e+02 +6.544320e+02 -3.779660e+04 -4.351480e+06 +7.169343e+09 +3.092193e+10 -8.674583e+12 -3.672398e+13 -2.106461e+17 -2.489818e+18   
Q20-014   +1.574374e+02   +5.582316e-07 -5.782136e-02 +8.408028e-04 -6.609357e-02 +1.197359e+00 +2.406332e+03 -7.795905e+03 +1.771095e+05 +7.222572e+06 -2.284918e+11 +9.217537e+10 -3.953848e+12 -1.095941e+14 +4.585047e+18 +1.825212e+18   +6.126580e-08 -2.544091e-05 -3.624136e-04 +4.201615e-02 -5.285940e-01 -2.592475e+02 +8.759158e+01 +4.268335e+04 -5.380757e+05 +3.871799e+09 +2.336408e+10 -7.265440e+12 -2.576477e+14 -1.220247e+17 -1.536985e+17   
Q20-015   +1.574377e+02   +1.908728e-07 -5.779654e-02 -1.534915e-03 -9.200350e-02 -4.660750e-01 +2.442994e+03 +1.920939e+03 +2.013181e+05 +9.480232e+06 -2.294003e+11 +8.422023e+10 -7.238927e+12 -1.668947e+13 +4.648931e+18 -3.935115e+18   +2.264697e-07 -3.492837e-06 -1.122340e-03 +7.446177e-03 +5.310242e-01 -3.811745e+02 +1.661693e+03 -2.067631e+04 +3.109523e+06 +6.502388e+09 +9.687915e+09 +1.601356e+12 -2.803050e+14 -1.638240e+17 -4.338921e+17   
Q20-016   +1.574399e+02   -2.045138e-07 -5.779812e-02 -2.239777e-03 -5.850310e-02 -5.135060e-01 +2.452268e+03 +7.295679e+02 +2.745736e+05 -1.260697e+07 -2.282319e+11 +3.236914e+09 -7.840674e+12 +5.800432e+14 +4.665294e+18 -3.520989e+17   +5.576749e-07 -1.728046e-05 -1.368191e-03 +1.136523e-02 +9.308619e-01 -3.573552e+02 +2.705364e+03 +2.336587e+05 -1.380494e+06 +6.613819e+09 -8.478969e+10 -7.221924e+12 +6.303462e+13 -1.654332e+17 +4.277031e+18   
