# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
Q20-005   +2.999595e+01   -4.052990e-07 -5.916165e-02 -5.615858e-04 -6.952839e-02 -7.338527e-01 +2.213601e+03 -5.690335e+02 +1.004647e+04 -3.937252e+07 -2.334824e+11 +5.980907e+10 +1.022995e+12 +8.251554e+14 +4.716003e+18 +7.928784e+17   -1.890820e-07 -1.298176e-05 +8.753575e-04 +9.721876e-03 -8.176130e-01 -1.154181e+02 -4.482805e+02 +1.816930e+04 +1.616291e+07 +2.936976e+09 -6.823481e+09 -7.594939e+12 -4.601605e+14 -3.460237e+16 -1.053641e+18   
Q20-007   +2.999670e+01   +5.913914e-07 -5.919928e-02 -1.053427e-03 -7.969380e-02 -6.540533e-01 +2.443001e+03 -1.156420e+03 +1.349916e+05 +2.172830e+07 -2.317813e+11 +3.454550e+10 +1.548807e+12 -6.597132e+14 +4.685845e+18 +1.089499e+18   +3.896555e-07 -6.732861e-06 -5.802162e-04 +1.598129e-02 -1.429277e-01 -1.498345e+02 +1.767516e+03 +1.171177e+05 +1.249951e+07 +4.974667e+09 -7.012048e+10 -1.334066e+13 +2.097917e+14 -2.953376e+16 +1.708000e+18   
Q20-009   +2.999615e+01   +2.555170e-07 -5.917486e-02 -1.034253e-03 -1.209912e-01 -7.930761e-01 +2.393904e+03 -8.249502e+02 +2.482326e+05 +1.060316e+07 -2.339385e+11 -3.047841e+10 -5.228334e+12 -4.730884e+14 +4.733474e+18 -2.390794e+18   +2.349909e-07 -1.218241e-05 -3.100086e-04 +1.115371e-02 +4.642879e-01 -1.402035e+02 +1.085990e+02 +6.484539e+04 +2.328070e+06 +4.793098e+09 +1.651523e+10 -5.114316e+12 -3.089206e+14 -5.047421e+16 +2.817384e+18   
Q20-010   +2.999585e+01   +7.355014e-07 -5.917282e-02 -3.571707e-04 -1.013049e-01 -4.660351e-01 +2.377954e+03 -2.585337e+03 +1.657858e+05 +1.744441e+07 -2.326805e+11 +8.705644e+10 -3.724952e+12 -1.260586e+14 +4.696333e+18 -1.162062e+18   +2.143337e-08 -6.822734e-06 -6.962717e-04 +2.056244e-02 +1.453020e+00 -1.665857e+02 -6.601287e+02 -5.024228e+04 -7.981654e+06 +5.864975e+09 -9.396437e+10 -3.639280e+12 +1.426128e+14 -1.250522e+17 +1.082267e+18   
Q20-011   +2.999595e+01   +4.232028e-08 -5.916029e-02 -1.316500e-03 -8.347384e-02 -9.252439e-01 +2.460538e+03 -1.644768e+03 +1.638744e+05 +3.034942e+05 -2.338298e+11 +8.093186e+10 -1.638296e+12 +5.655607e+14 +4.718240e+18 +1.522780e+18   +5.159917e-07 -4.922745e-06 -1.160702e-03 -8.032621e-03 +1.329806e+00 -1.722809e+02 +1.075758e+03 +5.960951e+04 +4.816030e+06 +4.883119e+09 -3.816842e+10 -6.310919e+12 -9.248149e+14 -8.956132e+16 -1.443989e+18   
Q20-012   +2.999595e+01   +3.016129e-07 -5.917229e-02 -1.654045e-03 -1.299534e-01 -1.192865e+00 +2.429083e+03 +7.269375e+02 +3.142435e+05 +2.733721e+07 -2.345829e+11 -8.608122e+10 -7.953487e+12 -1.653015e+14 +4.764993e+18 +2.781681e+17   +4.311229e-07 -2.867796e-05 -1.227560e-03 +3.292585e-03 +1.521849e+00 -1.832024e+02 +1.065077e+02 +2.129803e+04 +7.860885e+05 +4.589476e+09 -7.493605e+09 -7.497709e+12 -9.936725e+13 -1.033069e+17 -3.302001e+18   
Q20-013   +2.999585e+01   +5.240552e-07 -5.914885e-02 -6.914690e-04 -8.212413e-02 +1.074594e-01 +2.410102e+03 -6.636905e+02 -2.282124e+04 +2.274285e+07 -2.328228e+11 -6.133812e+09 +5.735360e+12 +2.478063e+14 +4.735442e+18 -1.469916e+18   +4.859609e-07 -2.157805e-05 -9.794058e-04 +2.871178e-02 +2.385324e-01 -1.970990e+02 +6.799381e+00 -1.664934e+05 +1.472709e+07 +6.792583e+09 -2.046788e+09 -6.493578e+12 -2.709112e+14 -1.699375e+17 +7.953247e+17   
Q20-014   +2.999590e+01   +5.280262e-07 -5.916719e-02 +3.276782e-04 -6.766538e-02 +9.551812e-01 +2.358336e+03 -3.704393e+03 +1.670079e+05 +5.178398e+06 -2.347324e+11 +1.697723e+11 -4.651392e+12 -1.447779e+14 +4.749259e+18 +3.869929e+18   +1.210016e-07 -2.799527e-05 -1.989347e-04 +3.791962e-02 -2.594569e-01 -1.593618e+02 +2.282879e+03 -1.707621e+05 -6.426675e+06 +4.272074e+09 +1.733841e+11 -9.111075e+12 -1.119490e+14 -2.310327e+16 +2.107958e+18   
Q20-015   +2.999595e+01   +4.620280e-07 -5.917012e-02 -1.250997e-03 -1.036765e-01 -3.465625e-01 +2.393321e+03 +1.686369e+03 +7.081876e+04 +1.777474e+07 -2.330674e+11 -3.033512e+10 +1.603522e+12 -8.041849e+13 +4.719510e+18 +1.702745e+18   +3.727797e-07 -7.986975e-06 -1.289114e-03 +9.257406e-03 +5.672699e-01 -1.828471e+02 +2.167225e+03 -5.729083e+04 -5.940792e+05 +6.052457e+09 +3.116081e+10 -4.944261e+12 -2.516296e+14 -1.458712e+17 +2.073568e+17   
Q20-016   +2.999660e+01   +4.307048e-08 -5.916264e-02 -1.962981e-03 -5.580236e-02 -7.569658e-01 +2.420737e+03 +3.212795e+03 -3.496980e+04 -1.620022e+05 -2.335080e+11 -5.024189e+10 +6.416547e+11 +3.074710e+14 +4.675040e+18 +4.465796e+18   +6.407456e-07 -2.156627e-05 -1.309907e-03 +1.184910e-02 +9.946174e-01 -2.432421e+02 +1.376617e+03 +1.829543e+05 +7.608322e+06 +7.851953e+09 +5.110062e+10 -8.226986e+12 -3.566984e+14 -2.235594e+17 -4.430035e+18   
