# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
Q20-006   +1.299963e+02   +5.117123e-08 -5.881330e-02 -1.676662e-03 -1.021077e-01 -1.041655e+00 +2.401824e+03 +6.027645e+02 +1.376505e+05 +7.350888e+06 -2.320173e+11 -4.929360e+10 +3.129957e+12 -6.733538e+14 +4.700917e+18 -1.052985e+18   +1.954029e-07 -9.086412e-06 -4.207458e-04 +2.246557e-02 -9.761793e-02 -1.602319e+02 +8.149909e+02 +8.129908e+04 +6.882746e+06 +3.141577e+09 -7.333049e+10 -6.384765e+12 -3.608337e+14 -1.158940e+16 +1.903185e+18   
Q20-018   +1.299957e+02   +2.554337e-07 -5.873698e-02 -9.729145e-04 -7.124459e-02 +7.195240e-02 +2.364171e+03 -7.885361e+02 +8.722942e+04 +1.002116e+07 -2.313047e+11 -6.885522e+09 -4.385558e+12 -4.755699e+14 +4.663639e+18 +3.220523e+18   -5.337670e-07 -2.166594e-05 +8.762236e-04 +1.543970e-02 -4.784654e-01 -2.355020e+02 -2.175563e+03 -2.100526e+04 -3.284469e+06 +4.783834e+09 +3.527861e+10 -1.982521e+11 +1.338534e+14 -1.566710e+17 +5.743206e+17   
Q20-031   +1.299971e+02   +8.878390e-07 -5.875627e-02 -4.290689e-04 -6.961835e-02 -5.811867e-01 +2.384264e+03 -1.939150e+03 +1.491819e+05 +2.830476e+07 -2.304986e+11 +3.091166e+10 -2.330838e+12 -7.107488e+14 +4.688412e+18 +9.088726e+17   +8.537906e-07 -1.526364e-05 -1.492430e-03 +1.443059e-02 +7.907330e-01 -2.225973e+02 +4.394645e+02 +1.587210e+05 +1.800304e+07 +4.403875e+09 +1.848110e+10 -8.944638e+12 -8.269177e+14 -1.125820e+17 -6.021160e+17   
Q20-042   +1.299963e+02   +7.639454e-07 -5.872881e-02 +1.316832e-03 -7.466393e-02 +1.497826e+00 +2.335810e+03 -6.209302e+03 -3.683746e+04 -1.006134e+06 -2.297323e+11 +1.120503e+11 +6.203399e+12 -5.418647e+13 +4.727063e+18 -2.176260e+18   -4.563516e-07 -1.231303e-05 +1.840150e-03 +1.064383e-02 -7.589780e-01 -2.233947e+02 -3.692296e+03 +1.057772e+05 -4.263522e+06 +3.346354e+09 -4.151524e+10 -9.504763e+12 +3.047237e+14 -8.107038e+16 +1.618179e+18   
Q20-052   +1.299964e+02   +2.587886e-07 -5.857505e-02 -8.844560e-04 -5.103164e-02 -6.024459e-01 +2.358728e+03 -1.989324e+03 +1.028348e+05 +1.165018e+07 -2.283232e+11 +7.196023e+10 -2.243891e+12 -3.066360e+14 +4.604325e+18 -1.793957e+18   +1.465579e-07 -7.424683e-06 -7.609338e-04 +6.889458e-03 +7.399789e-01 -1.523984e+02 +6.383566e+01 +6.613525e+04 +5.139034e+06 +2.735296e+09 +2.513769e+09 -7.437680e+12 -7.959705e+13 +2.895402e+16 +2.009496e+18   
Q20-054   +1.299967e+02   +2.380929e-07 -5.857356e-02 -7.874892e-04 -4.213852e-02 -1.426075e-01 +2.313979e+03 -2.471380e+03 +3.588713e+04 +9.873035e+06 -2.264990e+11 +1.405062e+11 -6.631378e+12 -1.524304e+14 +4.586740e+18 -2.870209e+18   +2.220950e-07 -7.626371e-06 -9.701254e-04 +1.709410e-02 +1.299789e+00 -2.089126e+02 +3.131537e+03 +2.268057e+05 -1.951633e+07 +5.483234e+09 -1.933251e+11 -1.840849e+13 +6.498133e+14 -6.289879e+16 +1.035873e+19   
Q20-084   +1.299956e+02   +5.131288e-07 -5.859457e-02 -8.342929e-04 -3.337535e-02 -5.017182e-01 +2.370203e+03 -2.803165e+03 +8.447617e+04 +3.136782e+07 -2.296536e+11 +1.178154e+11 -2.424626e+12 -8.333990e+14 +4.691057e+18 -3.620409e+18   +4.905298e-07 +9.437027e-06 -1.346714e-03 +2.197247e-02 +1.500205e+00 -2.218290e+02 -2.395508e+03 +9.894096e+03 +6.457819e+06 +6.192380e+09 +8.309650e+10 -9.342024e+12 -5.106971e+14 -1.241675e+17 -3.956739e+18   
Q20-085   +1.299937e+02   +2.437402e-07 -5.860253e-02 -3.175759e-04 -3.621710e-02 +9.691570e-01 +2.281383e+03 -3.727051e+02 -3.686890e+04 -1.043091e+07 -2.281443e+11 +3.763899e+10 +2.091084e+11 -1.696448e+14 +4.656652e+18 +1.203811e+17   -3.100229e-07 -1.300468e-05 +8.876815e-05 +7.100813e-03 +7.392147e-01 -1.819317e+02 +1.163818e+03 +9.267641e+04 -7.627691e+06 +2.386316e+09 -7.985010e+10 -2.373569e+12 +8.272770e+13 +1.001904e+17 +6.356397e+17   
Q20-089   +1.299955e+02   +5.665892e-07 -5.861112e-02 -6.271002e-04 -7.955052e-02 -6.218288e-01 +2.254229e+03 -1.129545e+03 +1.913546e+05 +2.821584e+07 -2.265735e+11 +3.040952e+10 -6.074456e+11 -9.503814e+14 +4.537704e+18 -1.227856e+18   +2.999970e-07 -3.160115e-06 -1.543845e-03 +1.668777e-02 +1.881342e+00 -2.068047e+02 +2.785004e+03 +4.413760e+04 -9.175548e+06 +3.452713e+09 +7.327407e+09 -2.655059e+11 +5.086845e+14 -6.565113e+16 -2.071504e+18   
Q20-093   +1.299943e+02   +1.873511e-07 -5.862208e-02 -1.862901e-03 -2.919793e-02 -9.311516e-01 +2.221113e+03 +2.830220e+03 +1.043722e+05 +2.606484e+07 -2.262014e+11 -8.999156e+10 -7.232750e+11 -9.920950e+14 +4.621304e+18 +5.446535e+18   +2.785335e-07 -4.245498e-06 -1.100586e-03 +9.434660e-03 +1.391632e+00 -1.520792e+02 +3.636471e+02 +1.770601e+05 -4.974625e+06 +2.505279e+09 +1.757483e+10 -5.636585e+12 +2.669389e+14 +2.670105e+16 -9.140193e+17   
Q20-099   +1.299949e+02   +4.181603e-07 -5.892614e-02 -6.737407e-04 -6.536717e-02 +1.261246e-01 +2.288316e+03 -4.045749e+03 +3.351748e+05 +7.153262e+04 -2.292567e+11 +2.446811e+11 -1.705082e+13 +3.160793e+14 +4.700020e+18 -9.497688e+18   +4.952760e-07 -1.426337e-05 -1.247450e-03 +1.688140e-02 +9.754483e-01 -1.617354e+02 +2.678811e+03 -5.263936e+04 -1.510180e+07 +5.206346e+09 -1.410135e+11 +3.225979e+12 +1.402419e+15 -1.873930e+17 +9.455863e+18   
