# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
Q20-058   +3.998100e+00   +2.397965e-06 -6.630267e-02 +8.223276e-04 -9.626222e-02 +3.689698e-01 +2.137941e+03 -2.127418e+03 +5.515923e+05 +5.710528e+07 -2.537438e+11 +1.470537e+11 +2.132346e+13 -2.175690e+15 +5.259631e+18 +9.772102e+18   +1.633581e-06 -5.092241e-06 -2.016710e-03 +1.928910e-02 +3.860149e+00 -2.300788e+02 -6.939549e+02 +5.975904e+05 +6.328056e+06 +2.281779e+09 +1.944021e+11 -1.377299e+13 +1.184292e+15 +5.638193e+16 -7.209327e+18   
Q20-059   +3.997900e+00   +2.335694e-06 -6.614643e-02 +6.022764e-04 -1.245145e-01 -1.131131e+00 +2.116158e+03 -5.164969e+03 +2.753351e+05 +4.193852e+07 -2.509372e+11 -1.553355e+10 -4.041967e+12 -1.078672e+15 +5.189997e+18 +1.666712e+18   -4.147160e-07 -1.872395e-05 +4.786711e-03 +1.888037e-02 -2.689094e+00 -2.303903e+02 -1.731748e+04 -5.695895e+04 +1.121309e+06 +2.372346e+09 +1.297426e+11 +2.545656e+12 +2.972380e+13 -3.521901e+15 +9.808537e+17   
Q20-060   +3.998250e+00   +1.515619e-06 -6.608849e-02 +9.624763e-06 -5.408726e-02 +1.149064e+00 +2.151696e+03 -2.555496e+03 -1.764382e+04 +5.356198e+07 -2.583800e+11 -1.221766e+11 +1.739179e+13 -1.379449e+15 +5.313675e+18 -6.165720e+18   -1.146893e-06 -1.356740e-05 +5.802426e-03 +1.959324e-02 -3.371255e+00 -7.960805e+01 -1.523051e+04 -4.708693e+04 -7.733741e+06 +1.244046e+09 +4.062377e+11 -1.444017e+13 +2.308719e+14 +1.047305e+17 +1.120105e+19   
Q20-062   +3.998100e+00   +1.836407e-06 -6.634316e-02 -7.184087e-04 -1.161943e-01 -2.360888e-02 +1.974355e+03 +1.028792e+04 +2.437800e+05 +2.016834e+07 -2.505610e+11 -2.192826e+11 -6.405060e+12 -2.398792e+15 +5.098077e+18 +2.612669e+18   -4.741477e-07 -1.851634e-05 +4.150189e-03 +2.867795e-02 -6.478968e-01 -1.851716e+02 -1.051670e+04 -9.845174e+04 +8.340692e+06 +3.308874e+09 -7.112333e+10 -6.164233e+12 -1.412760e+15 +1.606032e+17 -1.065822e+19   
Q20-064   +3.998150e+00   +4.187174e-06 -6.624829e-02 +7.654758e-03 -4.701574e-02 +1.981881e+00 +2.279981e+03 -3.060618e+04 +5.691517e+05 +2.473659e+07 -2.492717e+11 -1.422655e+10 +3.225664e+13 +8.042925e+14 +5.191764e+18 +7.408044e+18   +4.591389e-07 -1.155448e-05 +9.175038e-04 +1.477000e-03 +5.164434e-01 -3.061178e+02 -1.040625e+04 +4.439606e+05 +6.684532e+06 +9.254395e+09 +7.991128e+10 -4.322752e+13 +1.786266e+14 -5.186904e+16 -2.807478e+18   
Q20-067   +3.998100e+00   -2.198948e-06 -6.642515e-02 -1.383679e-02 -7.529487e-02 -7.890110e+00 +2.351046e+03 +3.365989e+04 +4.096506e+03 +7.969763e+07 -2.609124e+11 -1.014513e+12 -1.418926e+13 +1.847310e+15 +4.915878e+18 -3.737610e+19   +1.806125e-06 -3.286651e-05 -4.508904e-03 +1.054915e-02 +2.151254e+00 -1.938390e+02 +1.337528e+03 +1.026905e+06 +1.431086e+08 +1.520977e+10 -2.129835e+11 +2.013369e+13 +1.111288e+16 +1.353283e+17 +2.237848e+19   
Q20-070   +3.997500e+00   +5.344938e-06 -6.601093e-02 +9.959407e-03 +1.595920e-02 +3.741013e+00 +1.931099e+03 -1.584710e+04 -5.538384e+04 +1.668720e+08 -2.627802e+11 -2.612000e+11 +2.765503e+13 +6.887067e+15 +5.530952e+18 -2.592095e+19   -1.517010e-06 +7.365463e-06 +8.346632e-03 -1.584181e-02 -4.168320e+00 -4.165576e+02 -2.831412e+04 -3.006559e+04 -1.027287e+07 -8.637463e+09 +4.303275e+11 -7.851240e+13 -2.020814e+15 -9.707232e+16 +5.065316e+19   
Q20-072   +3.997750e+00   -2.751733e-07 -6.608537e-02 -7.356158e-03 -1.066764e-01 -4.737315e+00 +2.193859e+03 +1.927961e+04 +7.476653e+05 +8.934361e+06 -2.578676e+11 -1.423870e+11 +2.182910e+12 -1.559475e+15 +5.266172e+18 +5.575801e+18   +1.605946e-06 +2.558307e-05 -1.036517e-03 +6.424721e-03 +1.068626e-01 -2.360282e+02 +2.998852e+03 +1.739451e+05 +1.521732e+07 +5.889898e+09 -3.388361e+10 +1.173264e+13 -9.789882e+14 -6.387463e+16 -1.751893e+18   
Q20-075   +3.997800e+00   +3.862872e-06 -6.590295e-02 +7.252844e-03 -7.153629e-02 +3.498019e+00 +2.221895e+03 -2.157456e+04 -7.814943e+05 +9.432463e+07 -2.444909e+11 -9.045953e+11 +1.239986e+13 -1.153078e+15 +5.654055e+18 -1.994273e+19   +5.279481e-07 -1.109677e-05 +1.763581e-03 +3.666749e-02 +7.284084e-01 -1.837292e+02 -1.388138e+04 +6.188914e+05 +8.430907e+07 -5.438226e+09 -2.689902e+11 +7.664440e+12 -8.625542e+14 -3.609893e+17 +9.424458e+18   
Q20-079   +3.997800e+00   +1.984333e-06 -6.651673e-02 -5.301508e-04 -3.910688e-02 +1.653252e-01 +2.172969e+03 -4.692343e+03 +8.962337e+03 +3.942121e+07 -2.582095e+11 -7.667782e+10 +5.174406e+12 -6.270069e+14 +5.257879e+18 +2.148733e+18   +3.113960e-06 -5.649230e-06 -8.679909e-03 +1.529390e-02 +4.720116e+00 -2.441398e+02 +2.365256e+04 +2.941155e+05 +3.583198e+07 +5.724676e+09 -9.779834e+10 -6.731322e+12 -5.313870e+14 -1.378727e+17 +7.826257e+18   
Q20-095   +3.997950e+00   -5.188151e-07 -6.625546e-02 -7.876472e-03 -4.200820e-02 -4.941145e+00 +1.891912e+03 +2.326155e+04 -5.924912e+04 +3.148656e+07 -2.529654e+11 -2.198295e+11 -8.571771e+12 -9.132826e+14 +5.032514e+18 +1.870185e+18   +1.672071e-06 -1.923341e-05 -4.070634e-03 -6.197436e-03 +4.403559e+00 -2.106226e+02 +5.730614e+03 +3.445508e+05 -2.173783e+07 +2.408156e+09 +9.823815e+10 -2.921222e+13 +8.803669e+14 -4.179952e+16 -1.162334e+19   
Q20-107   +3.996100e+00   +2.727642e-06 -6.586945e-02 +1.845051e-03 -8.013716e-04 +5.443262e-01 +1.869110e+03 -4.600260e+03 -2.015897e+05 +8.435337e+07 -2.534316e+11 -4.768732e+10 +4.203896e+12 -2.709692e+15 +5.292653e+18 -2.298171e+16   +1.905367e-06 -1.796788e-05 -4.405761e-03 +2.140408e-02 +3.914970e+00 -3.113183e+02 +1.552098e+04 +4.013591e+05 +2.276631e+07 +4.185115e+09 -8.099657e+10 +1.737619e+13 -8.863569e+14 +7.215638e+16 -2.995380e+18   
