# multipoles
# s[mm] polynom_b[n=1][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=9][T/m^n] polynom_b[n=13][T/m^n] 
+0.0000000000000000e+00 +4.7418140941572467e+01 -3.4309814580171118e+06 +2.1660661478930416e+14 -3.7992536023662608e+21 
+1.0000000000000001e-01 +4.7418140729363671e+01 -3.4308262583227619e+06 +2.1658588441790012e+14 -3.7985268581093548e+21 
+2.0000000000000001e-01 +4.7418140120622887e+01 -3.4303927941358415e+06 +2.1652761719603906e+14 -3.7964755000688467e+21 
+3.0000000000000004e-01 +4.7418139157168206e+01 -3.4297292613956025e+06 +2.1643769822032297e+14 -3.7932928179261470e+21 
+4.0000000000000002e-01 +4.7418137880823110e+01 -3.4288838595448988e+06 +2.1632201300205759e+14 -3.7891721140515509e+21 
+5.0000000000000000e-01 +4.7418136333410800e+01 -3.4279047878110399e+06 +2.1618644702368781e+14 -3.7843066898679773e+21 
+6.0000000000000009e-01 +4.7418134556749607e+01 -3.4268402423044019e+06 +2.1603688540235919e+14 -3.7788898356762583e+21 
+7.0000000000000007e-01 +4.7418132592665316e+01 -3.4257384237137227e+06 +2.1587921378700084e+14 -3.7731148579142956e+21 
+8.0000000000000004e-01 +4.7418130482978100e+01 -3.4246475294826711e+06 +2.1571931745547431e+14 -3.7671750518342083e+21 
+9.0000000000000002e-01 +4.7418128269509040e+01 -3.4236157574186567e+06 +2.1556308172326216e+14 -3.7612637137823424e+21 
+1.0000000000000000e+00 +4.7418125994082295e+01 -3.4226913072581971e+06 +2.1541639212981662e+14 -3.7555741468824227e+21 
+1.1000000000000001e+00 +4.7418123697001214e+01 -3.4219195612004893e+06 +2.1528520114195075e+14 -3.7503112692465019e+21 
+1.2000000000000002e+00 +4.7418121412508597e+01 -3.4213346450530179e+06 +2.1517573052457628e+14 -3.7457265069230276e+21 
+1.3000000000000000e+00 +4.7418119173327284e+01 -3.4209678673207178e+06 +2.1509426898496812e+14 -3.7420829012207867e+21 
+1.4000000000000001e+00 +4.7418117012183579e+01 -3.4208505389022939e+06 +2.1504710552279422e+14 -3.7396435025439050e+21 
+1.5000000000000000e+00 +4.7418114961800569e+01 -3.4210139684941769e+06 +2.1504052886757591e+14 -3.7386713528582679e+21 
+1.6000000000000001e+00 +4.7418113054904680e+01 -3.4214894670510446e+06 +2.1508082802332700e+14 -3.7394295026597961e+21 
+1.7000000000000002e+00 +4.7418111324216511e+01 -3.4223083417524700e+06 +2.1517429154615206e+14 -3.7421809887163864e+21 
+1.8000000000000000e+00 +4.7418109802465608e+01 -3.4235019054622017e+06 +2.1532720866104603e+14 -3.7471888682182797e+21 
+1.9000000000000001e+00 +4.7418108522371575e+01 -3.4251014649097826e+06 +2.1554586787895847e+14 -3.7547161766684273e+21 
+2.0000000000000000e+00 +4.7418107516663412e+01 -3.4271383322143243e+06 +2.1583655831629622e+14 -3.7650259675807828e+21 
+2.1000000000000001e+00 +4.7418106783556055e+01 -3.4296109392578779e+06 +2.1620011172465916e+14 -3.7781700661419154e+21 
+2.2000000000000002e+00 +4.7418106183232794e+01 -3.4323862087227493e+06 +2.1661553157708612e+14 -3.7933554168761444e+21 
+2.3000000000000003e+00 +4.7418105541374224e+01 -3.4352981896987939e+06 +2.1705636473025856e+14 -3.8095777582371989e+21 
+2.4000000000000004e+00 +4.7418104683651997e+01 -3.4381809255259642e+06 +2.1749615736483338e+14 -3.8258328080775171e+21 
+2.5000000000000000e+00 +4.7418103435745827e+01 -3.4408684648205778e+06 +2.1790845628313509e+14 -3.8411163032043641e+21 
+2.6000000000000001e+00 +4.7418101623334870e+01 -3.4431948554310990e+06 +2.1826680818683094e+14 -3.8544239772206692e+21 
+2.7000000000000002e+00 +4.7418099072092872e+01 -3.4449941422920129e+06 +2.1854475945030100e+14 -3.8647515539734518e+21 
+2.8000000000000003e+00 +4.7418095607699314e+01 -3.4461003735383688e+06 +2.1871585681066525e+14 -3.8710947681672427e+21 
+2.9000000000000004e+00 +4.7418091055827944e+01 -3.4463475940639856e+06 +2.1875364663890747e+14 -3.8724493435739948e+21 
+3.0000000000000000e+00 +4.7418085242157254e+01 -3.4455698515844648e+06 +2.1863167562888688e+14 -3.8678110136665936e+21 
+3.1000000000000001e+00 +4.7418078065756767e+01 -3.4436709364554123e+06 +2.1833449467565481e+14 -3.8565907975196964e+21 
+3.2000000000000002e+00 +4.7418069719271571e+01 -3.4408336176846954e+06 +2.1789067246221631e+14 -3.8398608871379184e+21 
+3.3000000000000003e+00 +4.7418060468739178e+01 -3.4373104078667844e+06 +2.1733978198407619e+14 -3.8191087635120055e+21 
+3.4000000000000004e+00 +4.7418050580194134e+01 -3.4333538180603115e+06 +2.1672139607588494e+14 -3.7958219030643967e+21 
+3.5000000000000000e+00 +4.7418040319673210e+01 -3.4292163601132059e+06 +2.1607508763130772e+14 -3.7714877834325257e+21 
+3.6000000000000001e+00 +4.7418029953215331e+01 -3.4251505477940091e+06 +2.1544042979918838e+14 -3.7475938905564743e+21 
+3.7000000000000002e+00 +4.7418019746855720e+01 -3.4214088921377333e+06 +2.1485699538653969e+14 -3.7256276995777841e+21 
+3.8000000000000003e+00 +4.7418009966631402e+01 -3.4182439055896550e+06 +2.1436435738298541e+14 -3.7070766915268279e+21 
+3.9000000000000004e+00 +4.7418000878580017e+01 -3.4159081009594449e+06 +2.1400208881417603e+14 -3.6934283483870795e+21 
+4.0000000000000000e+00 +4.7417992748738172e+01 -3.4146539902121667e+06 +2.1380976260165922e+14 -3.6861701488999368e+21 
+4.1000000000000005e+00 +4.7417985760183704e+01 -3.4146546376036005e+06 +2.1381450929256775e+14 -3.6863233187516090e+21 
+4.2000000000000002e+00 +4.7417979764163377e+01 -3.4157653184177196e+06 +2.1399369014549097e+14 -3.6930440777336131e+21 
+4.2999999999999998e+00 +4.7417974528964997e+01 -3.4177618599595614e+06 +2.1431222400464472e+14 -3.7050223912200333e+21 
+4.4000000000000004e+00 +4.7417969822874468e+01 -3.4204200885244641e+06 +2.1473502960589175e+14 -3.7209482214567948e+21 
